bench, mem, temp, row_size, row_count, col_width, cycles
q2_new, r, h, 64, 43690, 4, 146434, 611693, 104, 10938, 1513, 1223378
q2_new, d, -, 64, 43690, 4, 179227, 655392, 859, 87665, 43770, 1354466
q2_new, r, c, 64, 43690, 8, 148945, 609232, 196, 21925, 10937, 1218949
q2_new, r, h, 64, 43690, 8, 153921, 609232, 242, 21954, 6561, 1218951
q2_new, d, -, 64, 43690, 8, 176048, 655393, 811, 87653, 43787, 1354466
q2_new, r, c, 64, 43690, 8, 152544, 611612, 210, 21933, 10935, 1223234
q2_new, r, h, 64, 43690, 8, 148020, 611612, 198, 21919, 6257, 1223233
q2_new, d, -, 64, 43690, 8, 178945, 655393, 817, 87665, 43781, 1354468
q2_new, r, c, 64, 43690, 8, 149421, 611692, 192, 21910, 10937, 1223377
q2_new, r, h, 64, 43690, 8, 149799, 611692, 204, 21930, 5930, 1223378
q2_new, d, -, 64, 43690, 8, 176175, 655393, 805, 87643, 43786, 1354466
q2_new, r, c, 64, 43690, 8, 151713, 611692, 222, 21967, 10939, 1223378
q2_new, r, h, 64, 43690, 8, 148201, 611692, 197, 21924, 6383, 1223377
q2_new, d, -, 64, 43690, 8, 176040, 655393, 806, 87647, 43771, 1354466
q2_new, r, c, 64, 43690, 8, 149440, 611692, 189, 21903, 10938, 1223377
q2_new, r, h, 64, 43690, 8, 147891, 611692, 194, 21910, 5615, 1223377
q2_new, d, -, 64, 43690, 8, 178382, 655394, 841, 87687, 43777, 1354468
q2_new, r, c, 64, 43690, 8, 151928, 611692, 204, 21932, 10937, 1223378
q2_new, r, h, 64, 43690, 8, 148250, 611692, 230, 21966, 6372, 1223377
q2_new, d, -, 64, 43690, 8, 176137, 655393, 869, 87773, 43773, 1354466
q2_new, r, c, 64, 43690, 8, 149515, 611692, 209, 21942, 10944, 1223377
q2_new, r, h, 64, 43690, 8, 147646, 611692, 192, 21908, 6004, 1223377
q2_new, d, -, 64, 43690, 8, 178244, 655393, 814, 87657, 43772, 1354467
q2_new, r, c, 64, 43690, 8, 149406, 611692, 191, 21905, 10937, 1223377
